row,col,value
3233,210,83.411499
3233,211,84.0753784
3233,212,83.8857498
3233,213,84.2410431
3233,214,84.7133331
3233,215,85.5725708
3233,216,85.7671585
3233,217,85.8685608
3234,202,84.2763977
3234,203,84.5551224
3234,204,83.6945038
3234,205,83.5084
3234,206,83.3761978
3234,207,83.4198303
3234,208,83.303093
3234,209,83.3687134
3234,210,83.7149277
3234,211,84.0356674
3234,212,84.3356552
3234,213,84.8213959
3234,214,85.01548
3234,215,85.84375
3234,216,86.2550049
3234,217,86.177002
3234,218,85.8427505
3235,203,85.1315002
3235,204,85.2521133
3235,205,84.0080032
3235,206,83.8256683
3235,207,83.8245239
3235,208,83.644104
3235,209,83.7549973
3235,210,84.1598816
3235,211,84.3929977
3235,212,84.3135681
3235,213,85.211998
3235,214,85.1774979
3235,215,85.4872055
3235,216,86.1380005
3235,217,86.5859985
3235,218,86.7346649
3235,219,86.9369965
3236,203,86.0744476
3236,204,86.3247528
3236,205,85.3506699
3236,206,84.7907181
3236,207,84.2630005
3236,208,83.8521652
3236,209,84.2115021
3236,210,84.3088303
3236,211,84.4512482
3236,212,84.6119995
3236,213,85.0214996
3236,214,85.3259964
3236,215,85.348999
3236,216,87.222496
3236,217,87.9940033
3236,218,88.0749969
3236,219,88.5394974
3236,220,88.8682022
3236,2649,0
3237,204,87.0762253
3237,205,86.8442001
3237,206,86.5255966
3237,207,85.3949203
3237,208,84.9612503
3237,209,85.0790024
3237,210,85.0130005
3237,211,86.6949158
3237,212,86.7192535
3237,213,88.586998
3237,214,88.9906693
3237,215,89.730751
3237,216,90.850502
3237,217,90.8355026
3237,218,90.7300034
3237,219,91.0354309
3237,220,91.5179977
3237,221,91.5680008
3237,2648,0
3238,205,88.0912476
3238,206,88.2677994
3238,207,88.6029968
3238,208,88.7832489
3238,209,89.262001
3238,210,89.7685013
3238,211,90.1228867
3238,212,90.4816971
3238,213,90.8837509
3238,214,91.177002
3238,215,91.5400009
3238,216,91.8659973
3238,217,92.1110001
3238,218,92.2574997
3238,219,92.8293304
3238,220,93.2076645
3238,221,93.8156662
3238,1120,0
3239,206,89.6251678
3239,207,89.9349976
3239,208,90.177002
3239,209,90.5370026
3239,210,90.9814987
3239,211,91.5815964
3239,212,92.0589981
3239,213,92.7539978
3239,214,93.2655029
3239,215,93.8046646
3239,216,94.2383347
3239,217,94.6999969
3239,218,94.961998
3239,219,95.5199966
3239,220,95.8519974
3239,221,96.0770874
3239,222,95.9304962
3239,244,99.5257187
3239,247,100.510208
3239,252,101.736336
3239,253,101.992134
3240,207,90.7186661
3240,208,91.6098022
3240,209,92.740715
3240,210,93.366333
3240,211,94.1772537
3240,212,94.9282532
3240,213,95.4596024
3240,214,95.8849258
3240,215,96.2146683
3240,216,96.2845001
3240,217,96.0757523
3240,218,96.0495987
3240,219,96.0183334
3240,220,95.9860001
3240,221,95.9400024
3240,222,95.925499
3240,244,99.5300827
3241,207,92.316597
3241,208,93.685997
3241,209,95.0090027
3241,210,95.9400024
3241,211,96.3142853
3241,212,96.3511047
3241,213,96.2565002
3241,214,96.2315979
3241,215,96.2164993
3241,216,96.197197
3241,217,96.1845016
3241,218,96.1194992
3241,219,96.0804977
3241,220,96.0792007
3241,221,96.0585022
3241,222,96.0080032
3241,223,95.9550018
3241,244,99.737999
3241,245,100.303001
3241,248,101.358002
3241,249,101.385368
3242,208,95.6729965
3242,209,96.3102188
3242,210,96.5414963
3242,211,96.3677521
3242,212,96.348999
3242,213,96.3724976
3242,214,96.336998
3242,215,96.2907486
3242,216,96.260498
3242,217,96.211998
